Data Source,Data,Domain,Indicator,Metric,Date of First Pull ,Data Puller,Pulled Format,Ideas for AWS naming,Notes
California Department of Forestry and Fire Protection (CalFire),California Vegetation - WHR13 Types,Natural Systems,Ecosystem type,,10/30/2023,Jesse,".gdb, .lyr, .atx, other geo files",natural_calfire_vegetation_types,
California Department of Fish and Wildlife,Ecoregion Biodiversity Weight score,Natural Systems,Ecosystem condition,,11/2/2023,Jesse,".lyr, .lyrx, .atx, other geo files",natural_fws_biodiversity,
United States Environmental Protection Agency,Air Quality Index,Natural Systems,Ecosystem condition,,11/8/2023,Jesse,.csv,natural_epa_air_quality,used web scraping to get all data at the CA level and in one file
United States Geological Service,Impervious lands,Natural Systems,Ecosystem condition,,11/2/2923,,.txt,natural_usgs_impervious,"large download file, not downloaded yet"
United States Department of Agriculture,Soil condition,Natural Systems,Ecosystem condition,,-,-,-,natural_usda_soil,"difficult data download - lets you assign an area of interest with a shp file, trying to use census tract to establish AIO and taking forever"
California Natural Resources Agency,California Protected Areas Database,Natural Systems,Ecosystem conservation,,11/2/2023,Jesse,all sorts of geo files (including .shp),natural_cnra_protected_areas,includes pdf manual
United States Department of Agriculture,Census data for crop and livestock sales,Natural Systems,Agricultural productivity conservation,,11/2/2023,Jesse,.csv,natural_usda_agriculture_productivity,"queried data for countly level census data from 2017 in the crop and animal & products sector, there are a few other sectors if interested"
United States Department of Agriculture,Crop Condition and Soil Moisture Analytics,Natural Systems,Agricultural productivity conservation,,-,-,-,natural_usda_crop_condition,just curious if we want to download just recent data or if we want to download multiple years worth. not sure if we talked about temporal range for this
California Department of Transportation,Airports,Built Environment,Transportation,,11/3/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_caltrans_airports,
California Department of Transportation,Road bottlenecks,Built Environment,Transportation,,11/4/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_caltrans_road_bottlenecks,
California Department of Transportation,Highways,Built Environment,Transportation,,11/5/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_caltrans_highways,
California Department of Transportation,Rail network,Built Environment,Transportation,,11/6/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_caltrans_rails,
California Department of Transportation,Bridges,Built Environment,Transportation,,11/7/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_caltrans_bridges,
California Public Utilities Commission,Broadband Internet Availability,Built Environment,Communication,,11/3/2023,Jesse,all sorts of strange geo files,built_cpuc_internet,difficult to find data aside from strange geo files
Homeland Infrastructure Foundation-Level Data,Radio transmission towers,Built Environment,Communication,,11/4/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_hiflld_radio_towers,data filtered to California
Homeland Infrastructure Foundation-Level Data,Cellular towers,Built Environment,Communication,,11/5/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_hifld_cellular_towers,data filtered to California
Homeland Infrastructure Foundation-Level Data,Microwave service towers,Built Environment,Communication,,11/6/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_hifld_microwave_towers,data filtered to California
Homeland Infrastructure Foundation-Level Data,Paging transmission towers,Built Environment,Communication,,11/7/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_hifld_paging_towers,data filtered to California
Homeland Infrastructure Foundation-Level Data,Digital TV station transmitters,Built Environment,Communication,,11/8/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_hifld_tv_towers,data filtered to California
Homeland Infrastructure Foundation-Level Data,Land mobile broadcast towers,Built Environment,Communication,,11/9/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_hifld_mobile_towers,data filtered to California
California energy commission,Power plants,Built Environment,Utilities,,11/3/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_cec_power_plants,
California energy commission,Transmission lines,Built Environment,Utilities,,11/4/2023,Jesse,".csv, .geogson, and many geo files (including shp)",built_cec_transmission_lines,
California State Water Resources Control Board,Wastewater treatments facilities,Built Environment,Utilities,,11/3/2023,Jesse,".txt, .kmz",built_swcrb_wastewater_facilities,"-difficult to find data download, there is an ArcRest services which can get a .kmz file and can be visualized with QGIS or ArcGIS
-included links to Arcrest and other source link in txt file in folder"
United States Census Bureau: American Community Survey,Housing vacancy,Built Environment,Housing vacancy and quality,,11/3/2023,Jesse,.csv,built_acs_housing_vacancy,includes data dictionary and notes on the data in the folder
Office of policy development and research,Housing quality,Built Environment,Housing vacancy and quality,,11/4/2023,Jesse,.csv,built_pdr_housing_quality,"includes data dictionary (very important to choose which data table we are interested), should be table 12"
